Date,Price,Open,High,Low,Vol.,Change %,Monthly Return
2021-07-31,47055.29,47312.33,47642.79,46925.16,,-0.54%,-0.006350406980991985
2021-08-31,47419.74,47365.7,47596.04,47349.49,,0.11%,0.007745144063504794
2021-09-30,44899.6,44366.74,44899.6,43972.09,,1.20%,-0.0531453778531894
2021-10-31,,,,,,,0.0
2021-11-30,,,,,,,0.0
2021-12-31,,,,,,,0.0
2022-01-31,,,,,,,0.0
2022-02-28,,,,,,,0.0
2022-03-31,44928.83,44337.56,44928.83,44337.56,,1.33%,0.0006510080267976281
2022-04-30,45249.41,45533.3,45533.3,44656.96,,-0.62%,0.007135284849393964
2022-05-31,43078.14,43040.14,43339.22,43018.4,,0.09%,-0.04798449305747865
2022-06-30,41540.83,41297.73,41559.31,41220.49,,0.59%,-0.035686545426520166
2022-07-31,40150.36,40276.64,40420.57,40026.86,,-0.31%,-0.03347236923287289
2022-08-31,42351.15,42195.26,42472.14,42079.05,,0.37%,0.05481370528184559
2022-09-30,41128.67,41013.86,41134.99,40753.94,,0.28%,-0.028865331874105005
2022-10-31,,,,,,,0.0
2022-11-30,,,,,,,0.0
2022-12-31,,,,,,,0.0
2023-01-31,,,,,,,0.0
2023-02-28,,,,,,,0.0
2023-03-31,40000.83,39848.35,40000.83,39729.44,,0.38%,-0.027422233687595443
2023-04-30,41580.85,41463.91,41790.68,41463.91,,0.28%,0.039499680381632096
2023-05-31,41337.82,41726.69,41852.24,41265.04,,-0.79%,-0.005844757863295191
2023-06-30,41452.68,41431.86,41606.25,41208.2,,0.16%,0.0027785693585196114
2023-07-31,48034.59,47372.54,48126.5,47372.54,,1.90%,0.15878128989488727
2023-08-31,45002.41,46286.73,46358.02,44459.63,,-2.69%,-0.06312492726595553
2023-09-30,46232.59,46464.29,46469.6,46177.5,,-0.38%,0.027335869345663788
2023-10-31,,,,,,,0.0
2023-11-30,,,,,,,0.0
2023-12-31,,,,,,,0.0
2024-01-31,,,,,,,0.0
2024-02-29,,,,,,,0.0
2024-03-31,67005.11,67232.2,67307.63,66822.43,,-0.20%,0.4493047004288535
2024-04-30,71102.55,71780.95,72119.66,71059.63,,-0.83%,0.06115115697892293
2024-05-31,75878.48,75078.43,75953.74,74989.26,,1.34%,0.06716960221539159
2024-06-30,78444.96,78698.47,78784.23,78312.36,206.23M,-0.11%,0.03382355576969931
2024-07-31,77886.99,78725.96,79151.82,77810.17,112.54M,-0.94%,-0.007112885263756974
2024-08-31,78488.22,78552.01,78914.28,78439.62,148.55M,0.18%,0.007719260944607065
2024-09-30,81114.2,81271.08,81321.64,80352.22,116.76M,-0.22%,0.033456995202592044
