Date,Price,Open,High,Low,Vol.,Change %
6/19/2013,"22,135.72","22,065.72","22,246.94","22,059.25",,0.99%
6/20/2013,"22,015.04","22,139.52","22,312.46","21,960.98",,-0.55%
6/21/2013,"21,698.35","22,008.70","22,008.70","21,681.83",,-1.44%
6/24/2013,"21,048.08","21,786.75","21,835.72","20,999.34",,-3.00%
6/25/2013,"21,110.34","20,987.17","21,266.01","20,898.12",,0.30%
6/26/2013,"21,002.57","21,122.53","21,329.95","20,940.22",,-0.51%
6/27/2013,"21,015.34","21,043.86","21,211.61","20,959.64",,0.06%
6/28/2013,"21,005.69","21,054.06","21,171.47","20,854.42",,-0.05%
7/1/2013,"21,363.16","21,036.41","21,381.62","20,942.34",,1.70%
7/2/2013,"21,644.17","21,400.75","21,724.01","21,400.75",,1.32%
7/3/2013,"21,802.86","21,646.04","21,828.53","21,636.15",,0.73%
7/4/2013,"21,966.96","21,857.59","22,110.42","21,853.18",,0.75%
7/5/2013,"22,178.34","22,027.70","22,237.44","22,027.70",,0.96%
7/8/2013,"22,365.72","22,235.62","22,397.43","22,216.44",,0.84%
7/9/2013,"22,721.22","22,375.13","22,757.93","22,375.13",,1.59%
7/10/2013,"22,984.94","22,722.89","23,074.85","22,648.15",,1.16%
7/11/2013,"22,747.13","23,016.69","23,049.65","22,713.32",,-1.03%
7/12/2013,"23,037.32","22,749.14","23,070.85","22,749.14",,1.28%
7/15/2013,"23,172.35","23,133.04","23,388.68","23,125.32",,0.59%
7/16/2013,"23,160.89","23,225.09","23,264.00","23,100.45",,-0.05%
7/17/2013,"22,994.72","23,159.41","23,320.35","22,928.81",,-0.72%
7/18/2013,"23,114.97","22,996.04","23,156.75","22,899.58",,0.52%
7/19/2013,"23,428.93","23,136.88","23,464.11","23,136.88",,1.36%
7/22/2013,"23,657.81","23,545.68","23,760.70","23,487.48",,0.98%
7/23/2013,"23,683.27","23,686.39","23,717.31","23,573.53",,0.11%
7/24/2013,"23,776.22","23,709.80","23,944.99","23,707.42",,0.39%
7/25/2013,"23,573.68","23,838.48","23,869.67","23,549.61",,-0.85%
7/26/2013,"23,497.07","23,607.32","23,702.26","23,456.74",,-0.32%
7/29/2013,"23,315.15","23,523.11","23,577.09","23,288.70",,-0.77%
7/30/2013,"23,284.81","23,345.18","23,467.09","23,129.16",,-0.13%
7/31/2013,"23,312.77","23,369.37","23,398.39","23,210.83",,0.12%
8/1/2013,"23,091.86","23,335.79","23,399.35","23,010.59",,-0.95%
8/5/2013,"22,701.30","23,102.16","23,123.35","22,302.02",,-1.69%
8/6/2013,"22,621.93","22,715.83","22,967.47","22,547.51",,-0.35%
8/7/2013,"23,237.19","22,649.46","23,275.55","22,591.87",,2.72%
8/12/2013,"23,437.99","23,242.68","23,470.05","23,194.96",,0.86%
8/13/2013,"23,613.20","23,464.24","23,658.01","23,448.53",,0.75%
8/15/2013,"23,687.89","23,619.17","23,748.50","23,492.65",,0.32%
8/16/2013,"23,673.30","23,676.19","23,820.22","23,623.41",,-0.06%
8/19/2013,"23,600.23","23,687.79","23,702.87","23,439.81",,-0.31%
8/20/2013,"23,487.23","23,603.41","23,808.18","23,442.93",,-0.48%
8/21/2013,"23,015.27","23,489.38","23,489.38","22,977.76",,-2.01%
8/22/2013,"22,714.32","23,048.34","23,099.67","22,540.56",,-1.31%
8/23/2013,"22,714.68","22,722.02","22,937.12","22,583.26",,0.00%
8/26/2013,"22,922.24","22,825.37","23,134.30","22,825.37",,0.91%
8/27/2013,"22,523.71","23,016.81","23,062.46","22,478.94",,-1.74%
8/28/2013,"22,236.33","22,517.01","22,517.01","21,929.15",,-1.28%
8/29/2013,"22,214.73","22,258.50","22,350.89","22,050.76",,-0.10%
8/30/2013,"22,160.85","22,216.02","22,346.62","21,989.27",,-0.24%
9/2/2013,"21,724.68","22,130.87","22,130.87","21,679.30",,-1.97%
9/3/2013,"21,808.48","21,698.48","22,082.81","21,634.83",,0.39%
9/4/2013,"21,875.83","21,856.38","21,964.66","21,770.33",,0.31%
9/5/2013,"22,451.46","21,964.12","22,503.89","21,920.76",,2.63%
9/6/2013,"22,765.87","22,491.18","22,839.62","22,491.18",,1.40%
9/9/2013,"22,838.84","22,768.84","22,997.94","22,768.84",,0.32%
9/10/2013,"22,992.17","22,901.69","23,091.65","22,901.69",,0.67%
9/11/2013,"23,231.68","23,016.75","23,261.63","22,948.26",,1.04%
9/12/2013,"23,222.21","23,243.68","23,379.70","23,167.36",,-0.04%
9/13/2013,"23,168.04","23,223.68","23,268.04","23,139.61",,-0.23%
9/16/2013,"23,242.68","23,175.56","23,323.67","23,083.24",,0.32%
9/17/2013,"23,066.50","23,279.42","23,380.36","23,013.02",,-0.76%
9/18/2013,"22,930.06","23,067.05","23,110.52","22,818.17",,-0.59%
9/19/2013,"23,456.98","22,978.66","23,503.24","22,966.74",,2.30%
9/20/2013,"23,595.61","23,471.78","23,663.20","23,407.99",,0.59%
9/23/2013,"23,639.97","23,585.26","23,680.37","23,516.08",,0.19%
9/24/2013,"23,088.49","23,680.39","23,726.90","23,027.22",,-2.33%
9/25/2013,"23,060.90","23,093.72","23,219.35","22,794.64",,-0.12%
9/26/2013,"22,780.82","23,106.97","23,136.01","22,516.64",,-1.21%
9/27/2013,"22,387.31","22,858.30","22,929.65","22,317.18",,-1.73%
9/30/2013,"21,832.68","22,149.16","22,149.16","21,669.63",,-2.48%
10/1/2013,"21,980.42","21,782.03","22,018.76","21,497.19",,0.68%
10/2/2013,"22,189.67","21,985.83","22,290.02","21,985.83",,0.95%
10/3/2013,"22,152.35","22,190.49","22,294.73","22,086.31",,-0.17%
10/4/2013,"22,085.96","22,166.85","22,331.51","22,064.71",,-0.30%
10/7/2013,"21,864.85","22,092.18","22,104.37","21,842.51",,-1.00%
10/8/2013,"22,080.47","21,874.38","22,095.08","21,846.37",,0.99%
10/9/2013,"21,657.22","22,092.82","22,150.30","21,632.32",,-1.92%
10/10/2013,"21,674.98","21,653.31","21,734.67","21,476.32",,0.08%
10/11/2013,"21,775.39","21,711.66","21,944.85","21,711.66",,0.46%
10/14/2013,"21,599.78","21,796.77","21,815.17","21,596.11",,-0.81%
10/21/2013,"21,754.95","21,615.68","21,979.37","21,615.68",,0.72%
10/22/2013,"22,230.43","21,762.90","22,283.70","21,749.07",,2.19%
10/23/2013,"22,347.29","22,383.98","22,539.36","22,325.63",,0.53%
10/24/2013,"22,360.85","22,364.46","22,472.51","22,274.60",,0.06%
10/25/2013,"22,445.59","22,357.08","22,578.96","22,321.04",,0.38%
