s_close,s_date
645.696,"Jan 18, 2019"
649.452,"Jan 21, 2019"
654.838,"Jan 22, 2019"
657.039,"Jan 23, 2019"
657.991,"Jan 24, 2019"
659.158,"Jan 25, 2019"
659.654,"Jan 28, 2019"
661.86,"Jan 29, 2019"
660.168,"Jan 30, 2019"
661.146,"Jan 31, 2019"
664.641,"Feb 01, 2019"
672.153,"Feb 04, 2019"
672.901,"Feb 06, 2019"
670.377,"Feb 07, 2019"
663.503,"Feb 08, 2019"
657.24,"Feb 11, 2019"
662.467,"Feb 12, 2019"
662.058,"Feb 13, 2019"
660.936,"Feb 14, 2019"
661.763,"Feb 15, 2019"
658.297,"Feb 18, 2019"
654.402,"Feb 19, 2019"
661.098,"Feb 20, 2019"
658.875,"Feb 21, 2019"
660.093,"Feb 22, 2019"
653.779,"Feb 25, 2019"
641.589,"Feb 26, 2019"
640.124,"Feb 27, 2019"
645.164,"Feb 28, 2019"
651.974,"Mar 01, 2019"
653.089,"Mar 04, 2019"
651.167,"Mar 05, 2019"
649.892,"Mar 06, 2019"
645.549,"Mar 07, 2019"
638.868,"Mar 08, 2019"
638.08,"Mar 11, 2019"
635.537,"Mar 12, 2019"
635.435,"Mar 13, 2019"
632.805,"Mar 14, 2019"
628.014,"Mar 15, 2019"
635.42,"Mar 18, 2019"
631.98,"Mar 19, 2019"
629.974,"Mar 20, 2019"
627.063,"Mar 21, 2019"
629.101,"Mar 22, 2019"
620.259,"Mar 25, 2019"
622.534,"Mar 26, 2019"
631.445,"Mar 27, 2019"
623.702,"Mar 28, 2019"
626.031,"Mar 29, 2019"
623.75,"Apr 01, 2019"
618.57,"Apr 02, 2019"
618.904,"Apr 03, 2019"
611.286,"Apr 04, 2019"
613.841,"Apr 05, 2019"
604.267,"Apr 08, 2019"
607.257,"Apr 09, 2019"
599.065,"Apr 10, 2019"
602.974,"Apr 11, 2019"
610.85,"Apr 12, 2019"
612.688,"Apr 15, 2019"
611.979,"Apr 16, 2019"
603.184,"Apr 17, 2019"
605.168,"Apr 18, 2019"
609.577,"Apr 19, 2019"
601.75,"Apr 22, 2019"
591.684,"Apr 23, 2019"
593.417,"Apr 24, 2019"
597.755,"Apr 25, 2019"
604.659,"Apr 26, 2019"
602.29,"Apr 29, 2019"
596.695,"Apr 30, 2019"
592.108,"May 02, 2019"
585.416,"May 03, 2019"
578.972,"May 06, 2019"
566.462,"May 08, 2019"
563.09,"May 09, 2019"
559.367,"May 10, 2019"
547.313,"May 13, 2019"
545.913,"May 14, 2019"
552.507,"May 15, 2019"
546.304,"May 16, 2019"
533.891,"May 17, 2019"
533.539,"May 20, 2019"
538.755,"May 21, 2019"
556.868,"May 22, 2019"
571.736,"May 23, 2019"
570.849,"May 24, 2019"
571.889,"May 27, 2019"
