Performance Summary | MUTUAL FUNDS ASSOCIATION OF PAKISTAN,,,,,,,,,,,,,,,,,
Sector,Category,Fund Name,Rating,Benchmark,Validity Date,NAV,YTD,MTD,1 Day,15 Days,30 Days,90 Days,180 Days,270 Days,365 Days,2 Years,3 Years
Open-End Funds,Shariah Compliant Asset Allocation (Absolute Return ),Pak Qatar Asset Allocation Plan II (PQAAP  IIA),,N/A,"Jan 20, 2025",111.0063,10.53,0.47,0.09,0.28,0.79,3.45,9.00,14.73,20.83,N/A,N/A
Open-End Funds,Shariah Compliant Asset Allocation (Absolute Return ),Pak-Qatar Asset Allocation Plan III (PQAAP  IIIA),AM2,N/A,"Jan 20, 2025",144.4504,44.45,1.24,1.15,0.06,7.29,26.23,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Shariah Compliant Fund of Funds (Absolute Return ),ABL Islamic Financial Planning Fund (Active Allocation Plan),,N/A,"Jan 20, 2025",113.1343,34.72,(0.78),0.55,(0.94),3.00,25.59,34.66,120.83,138.81,242.99,209.95
Open-End Funds,Shariah Compliant Fund of Funds (Absolute Return ),ABL Islamic Financial Planning Fund (Aggressive Allocation Plan),,N/A,"Jan 20, 2025",112.7703,18.24,(1.53),0.03,(1.62),1.36,14.60,18.57,25.19,34.03,93.78,69.33
Open-End Funds,Shariah Compliant Fund of Funds (Absolute Return ),ABL Islamic Financial Planning Fund (Capital Preservation Plan II),,N/A,"Jan 20, 2025",118.6964,18.33,0.03,0.27,(0.07),3.06,12.18,17.56,23.52,31.30,61.97,61.84
Open-End Funds,Shariah Compliant Fund of Funds (Absolute Return ),ABL Islamic Financial Planning Fund (Conservative Allocation Plan),,N/A,"Jan 20, 2025",125.9883,8.78,0.50,0.08,0.43,1.01,3.14,7.42,12.53,18.54,43.13,47.69
Open-End Funds,Shariah Compliant Fund of Funds (Absolute Return ),ABL Islamic Financial Planning Fund (Strategic Allocation Plan III),,N/A,"Jan 20, 2025",117.325,34.16,(0.75),0.54,(0.91),4.55,26.67,34.80,41.64,55.61,124.54,101.08
Open-End Funds,Shariah Compliant Fund of Funds (Absolute Return ),ABL Islamic Financial Planning Fund (Strategic Allocation Plan),,N/A,"Jan 20, 2025",116.6514,34.44,(0.77),0.56,(0.93),3.14,25.99,34.75,42.05,55.81,124.12,100.88
Open-End Funds,Shariah Compliant Fund of Funds (Absolute Return ),Alfalah GHP Islamic Prosperity Planning Fund (Alfalah GHP Islamic Active Allocation Plan II),,N/A,"Jan 17, 2025",128.3158,41.32,(0.55),0.41,(0.93),1.83,34.03,39.05,51.55,65.36,133.95,127.33
Open-End Funds,Shariah Compliant Fund of Funds (Absolute Return ),Alfalah GHP Islamic Prosperity Planning Fund (Alfalah GHP Islamic Balance Allocation Plan),,N/A,"Jan 17, 2025",117.3174,15.89,(0.14),0.29,(0.42),0.90,8.99,14.59,20.73,27.91,59.48,70.40
Open-End Funds,Shariah Compliant Fund of Funds (Absolute Return ),Alfalah GHP Islamic Prosperity Planning Fund (Alfalah GHP Islamic Moderate Allocation Plan),,N/A,"Jan 17, 2025",129.0881,23.70,(0.98),0.58,(1.50),0.59,16.74,22.12,29.97,40.07,79.12,87.46
Open-End Funds,Shariah Compliant Fund of Funds (Absolute Return ),Alfalah KTrade Islamic Plan VII,,N/A,"Jan 15, 2025",120.3099,6.91,0.39,0.03,0.39,0.87,3.15,6.42,6.46,10.94,N/A,N/A
Open-End Funds,Shariah Compliant Fund of Funds (Absolute Return ),Alhamra Smart Portfolio,,N/A,"Jan 20, 2025",150.6249,16.85,N/A,0.16,(0.21),1.61,8.27,15.66,22.25,29.56,67.77,71.27
Open-End Funds,Shariah Compliant Fund of Funds (Absolute Return ),Atlas Islamic Fund of Funds (Atlas Aggressive Allocation Islamic Plan),,N/A,"Jan 20, 2025","1,127.2698",37.16,(1.48),0.35,(1.73),2.15,25.52,36.54,44.11,58.64,140.20,114.09
Open-End Funds,Shariah Compliant Fund of Funds (Absolute Return ),Atlas Islamic Fund of Funds (Atlas Conservative Allocation Islamic Plan),,N/A,"Jan 20, 2025",828.8038,21.43,(0.46),0.21,(0.62),1.51,13.19,20.25,26.55,35.68,80.07,86.01
Open-End Funds,Shariah Compliant Fund of Funds (Absolute Return ),Atlas Islamic Fund of Funds (Atlas Moderate Allocation Islamic Plan),,N/A,"Jan 20, 2025",999.2138,30.94,(1.11),0.30,(1.34),1.88,20.62,30.03,37.11,48.88,113.07,102.08
Open-End Funds,Shariah Compliant Fund of Funds (Absolute Return ),Meezan Financial Planning Fund of Funds (Aggressive),,N/A,"Jan 19, 2025",141.7924,38.19,(1.87),N/A,(1.81),2.05,27.51,37.72,43.41,54.82,128.29,104.29
Open-End Funds,Shariah Compliant Fund of Funds (Absolute Return ),Meezan Financial Planning Fund of Funds (Conservative),,N/A,"Jan 19, 2025",108.7484,18.78,(0.35),N/A,(0.39),1.27,10.93,17.74,22.70,29.67,67.91,74.34
Open-End Funds,Shariah Compliant Fund of Funds (Absolute Return ),Meezan Financial Planning Fund of Funds (MAAP I),,N/A,"Jan 19, 2025",110.5227,32.70,(2.52),N/A,(2.20),0.90,22.90,32.16,37.61,48.27,116.00,92.58
Open-End Funds,Shariah Compliant Fund of Funds (Absolute Return ),Meezan Financial Planning Fund of Funds (Moderate),,N/A,"Jan 19, 2025",120.8594,29.06,(1.18),N/A,(1.14),1.62,19.36,28.15,33.99,43.25,100.75,93.52
Open-End Funds,Shariah Compliant Fund of Funds (Absolute Return ),Meezan Financial Planning Fund of Funds (Very Conservative Allocation Plan),,N/A,"Jan 19, 2025",54.1228,7.55,0.33,N/A,0.32,0.63,3.58,6.86,10.45,16.78,N/A,N/A
Open-End Funds,Shariah Compliant Fund of Funds (Absolute Return ),Meezan Strategic Allocation Fund (MSAP I),,N/A,"Jan 19, 2025",77.0962,37.32,(2.93),N/A,(2.56),0.97,24.88,36.42,42.32,52.91,120.86,98.14
Open-End Funds,Shariah Compliant Fund of Funds (Absolute Return ),Meezan Strategic Allocation Fund (MSAP II),,N/A,"Jan 19, 2025",65.6139,35.65,(0.78),N/A,(1.79),2.56,24.34,33.78,40.55,53.35,119.96,96.93
Open-End Funds,Shariah Compliant Fund of Funds (Absolute Return ),Meezan Strategic Allocation Fund (MSAP III),,N/A,"Jan 19, 2025",72.6061,34.24,(2.45),N/A,(2.23),1.09,23.50,33.47,39.05,49.42,115.88,93.32
Open-End Funds,Shariah Compliant Fund of Funds (Absolute Return ),Meezan Strategic Allocation Fund (MSAP IV),,N/A,"Jan 19, 2025",76.2982,32.98,(2.59),N/A,(2.26),0.84,22.94,32.45,37.74,47.90,114.04,90.33
Open-End Funds,Shariah Compliant Fund of Funds (Absolute Return ),Meezan Strategic Allocation Fund (MSAP V),,N/A,"Jan 19, 2025",84.5119,30.63,(2.42),N/A,(2.12),0.89,21.77,30.56,35.27,45.53,107.64,85.10
Open-End Funds,Shariah Compliant Index Tracker (Absolute Return ),KSE Meezan Index Fund,,N/A,"Jan 20, 2025",141.6786,39.53,(0.28),0.45,(2.18),4.45,33.86,39.35,45.33,64.12,161.34,130.53
Open-End Funds,Shariah Compliant Commodities (Absolute Return ),Meezan Gold Fund,,N/A,"Jan 19, 2025",196.4699,19.86,2.77,N/A,2.27,2.83,(0.19),12.65,22.64,32.19,66.49,113.88
