Performance Summary | MUTUAL FUNDS ASSOCIATION OF PAKISTAN,,,,,,,,,,,,,,,,,
Sector,Category,Fund Name,Rating,Benchmark,Validity Date,NAV,YTD,MTD,1 Day,15 Days,30 Days,90 Days,180 Days,270 Days,365 Days,2 Years,3 Years
Open-End Funds,Income (Annualized Return ),UBL Income Opportunity Fund,AA-(f),N/A,"Jan 20, 2025",122.8251,20.06,15.49,16.68,13.74,14.33,13.63,19.69,20.30,20.42,23.51,21.46
Open-End Funds,Equity (Absolute Return ),ABL Stock Fund,,N/A,"Jan 20, 2025",27.186,49.70,(0.81),0.43,(1.71),3.94,33.87,48.26,62.36,84.64,222.47,138.60
Open-End Funds,Equity (Absolute Return ),AKD Opportunity Fund,,N/A,"Jan 20, 2025",153.9737,39.58,(0.77),1.16,(3.39),9.32,32.64,33.46,41.54,49.09,60.14,37.45
Open-End Funds,Equity (Absolute Return ),AL Habib Stock Fund,,N/A,"Jan 20, 2025",163.5768,63.56,1.23,0.60,(0.50),5.06,36.33,58.27,78.82,117.36,263.00,185.60
Open-End Funds,Equity (Absolute Return ),Alfalah GHP Alpha Fund,,N/A,"Jan 17, 2025",78.72,53.93,(1.81),1.25,(3.35),1.27,33.54,48.53,69.07,88.35,216.04,149.84
Open-End Funds,Equity (Absolute Return ),Alfalah GHP Stock Fund,,N/A,"Jan 15, 2025",143.6382,52.63,(2.22),(0.19),(2.22),(2.51),33.55,47.25,69.59,83.01,214.54,148.08
Open-End Funds,Equity (Absolute Return ),Alfalah Stock Fund - II (Formerly: Faysal Stock Fund),,N/A,"Jan 20, 2025",62.8094,55.11,0.21,0.72,(1.43),5.89,36.20,54.17,74.28,112.34,27.56,(4.15)
Open-End Funds,Equity (Absolute Return ),Atlas Stock Market Fund,,N/A,"Jan 20, 2025","1,536.3401",51.52,(1.18),0.38,(1.87),3.22,33.44,50.25,65.18,85.91,223.17,150.35
Open-End Funds,Equity (Absolute Return ),AWT Stock Fund,,N/A,"Jan 20, 2025",220.9426,52.16,(0.90),0.73,(1.84),3.83,33.71,48.24,61.74,80.14,199.84,145.40
Open-End Funds,Equity (Absolute Return ),First Capital Mutual Fund,,N/A,"Jan 20, 2025",14.0816,45.11,(1.35),0.58,(2.40),3.75,30.70,46.16,49.44,66.78,152.80,111.25
Open-End Funds,Equity (Absolute Return ),Golden Arrow Stock Fund,,N/A,"Jan 20, 2025",27.9199,47.59,2.39,1.23,(1.29),11.42,39.65,40.55,60.79,66.63,123.20,96.06
Open-End Funds,Equity (Absolute Return ),HBL Energy Fund,,N/A,"Jan 20, 2025",28.5165,67.92,(7.04),N/A,(4.19),(1.91),49.76,69.05,62.59,66.58,200.85,168.78
Open-End Funds,Equity (Absolute Return ),HBL Equity Fund,,N/A,"Jan 20, 2025",193.7339,59.48,(6.23),N/A,(4.90),0.38,39.01,57.52,67.61,85.13,202.25,91.37
Open-End Funds,Equity (Absolute Return ),HBL Growth Fund-Class A,,N/A,"Jan 20, 2025",44.0914,121.03,(10.28),N/A,(9.35),(0.82),81.38,120.97,98.50,98.26,194.84,133.90
Open-End Funds,Equity (Absolute Return ),HBL Growth Fund-Class B,,N/A,"Jan 20, 2025",32.1672,48.97,(5.68),N/A,(3.90),(1.26),31.36,45.84,46.21,67.93,183.20,91.68
Open-End Funds,Equity (Absolute Return ),HBL Investment Fund-Class A,,N/A,"Jan 20, 2025",15.9349,124.24,(10.31),N/A,(9.36),(0.89),83.87,125.41,101.28,101.33,197.16,131.40
Open-End Funds,Equity (Absolute Return ),HBL Investment Fund-Class B,,N/A,"Jan 20, 2025",15.0549,45.25,(5.98),N/A,(4.36),(1.20),29.00,42.50,44.66,62.22,174.41,76.22
Open-End Funds,Equity (Absolute Return ),HBL Stock Fund,,N/A,"Jan 20, 2025",172.7553,43.32,(5.79),N/A,(3.91),(0.92),30.81,40.56,43.31,59.69,175.72,83.62
Open-End Funds,Equity (Absolute Return ),JS Growth Fund,,N/A,"Jan 20, 2025",355.4,38.41,(0.97),0.43,(1.97),2.54,24.97,38.16,46.64,64.56,166.11,116.33
Open-End Funds,Equity (Absolute Return ),JS Large Cap Fund,,N/A,"Jan 20, 2025",291.04,44.49,(1.33),0.30,(2.35),2.62,26.96,43.24,52.34,75.04,184.91,132.06
Open-End Funds,Equity (Absolute Return ),Lakson Equity Fund,,N/A,"Jan 20, 2025",232.1378,45.26,(0.73),0.43,(1.23),4.01,26.95,44.46,58.30,78.93,190.63,148.75
Open-End Funds,Equity (Absolute Return ),MCB Pakistan Stock Market Fund,,N/A,"Jan 20, 2025",226.936,50.34,(0.39),0.33,(2.43),4.69,28.75,46.86,65.68,80.92,231.85,143.66
Open-End Funds,Equity (Absolute Return ),National Investment Unit Trust,,N/A,"Jan 20, 2025",137.04,60.68,(2.32),0.01,(3.09),2.67,39.89,59.70,74.64,85.51,178.19,120.99
Open-End Funds,Equity (Absolute Return ),NBP Financial Sector Fund,,N/A,"Jan 20, 2025",18.3962,36.30,0.88,0.17,(2.53),7.48,19.72,28.88,52.90,82.50,250.41,161.94
Open-End Funds,Equity (Absolute Return ),NBP Stock Fund,,N/A,"Jan 20, 2025",33.5791,56.81,(1.87),0.48,(2.14),1.46,36.16,54.80,66.34,84.57,225.89,146.75
Open-End Funds,Equity (Absolute Return ),UBL Financial Sector Fund,,N/A,"Jan 20, 2025",207.4897,37.35,2.04,0.20,(1.37),9.37,22.81,30.50,30.53,60.19,227.27,150.75
Open-End Funds,Equity (Absolute Return ),UBL Stock Advantage Fund,,N/A,"Jan 20, 2025",192.99,52.83,(1.54),0.23,(2.05),2.35,33.23,51.44,66.37,86.69,229.86,158.28
Open-End Funds,Capital Protected (Absolute Return ),ABL Special Saving Fund (ABL Special Saving Plan I),,N/A,"Jan 20, 2025",11.2332,11.12,0.88,0.05,0.66,1.31,4.14,9.54,15.07,20.66,48.41,66.73
Open-End Funds,Capital Protected (Absolute Return ),ABL Special Saving Fund (ABL Special Saving Plan II),,N/A,"Jan 20, 2025",10.743,9.09,0.56,0.03,0.40,0.84,3.18,7.70,13.04,18.06,56.50,76.74
Open-End Funds,Capital Protected (Absolute Return ),ABL Special Saving Fund (ABL Special Saving Plan III),,N/A,"Jan 20, 2025",11.3665,11.47,0.87,0.04,0.60,1.25,3.80,9.91,15.25,21.25,48.08,69.68
Open-End Funds,Capital Protected (Absolute Return ),ABL Special Saving Fund (ABL Special Saving Plan IV),,N/A,"Jan 20, 2025",11.2618,11.00,0.94,0.02,0.69,1.25,3.89,9.51,15.01,19.81,46.46,80.89
Open-End Funds,Capital Protected (Absolute Return ),ABL Special Saving Fund (ABL Special Saving Plan V),,N/A,"Jan 20, 2025",11.2719,11.59,0.82,0.05,0.55,1.20,3.79,10.04,15.48,20.81,48.26,67.47
Open-End Funds,Capital Protected (Absolute Return ),ABL Special Saving Fund (ABL Special Saving Plan VI),,N/A,"Jan 20, 2025",10.1281,12.21,0.87,0.06,0.62,1.39,4.07,10.65,16.20,21.22,49.49,N/A
Open-End Funds,Capital Protected (Absolute Return ),Alfalah Special Savings Fund - I (Formerly: Faysal Special Savings Plan I),,N/A,"Jan 20, 2025",133.7805,(0.94),(0.65),N/A,(0.05),1.49,1.21,1.34,3.38,7.49,27.13,44.16
Open-End Funds,Capital Protected (Absolute Return ),Alfalah Special Savings Fund - II (Formerly: Faysal Special Savings Plan II),,N/A,"Jan 20, 2025",110.4233,3.41,1.89,0.54,4.54,3.58,9.45,6.19,25.32,33.21,62.80,N/A
Open-End Funds,Capital Protected (Absolute Return ),Alfalah Special Savings Fund - III (Formerly: Faysal Special Savings Plan III),,N/A,"Dec 23, 2024",13.2635,16.34,1.64,0.08,1.07,2.35,7.59,17.12,23.40,30.04,56.00,N/A
