0,1,s_close,s_date
"Sep 13, 24",10.09,10.09,"Sep 13, 24"
"Sep 16, 24",10.09,10.09,"Sep 16, 24"
"Sep 19, 24",10.10,10.10,"Sep 19, 24"
"Sep 20, 24",10.10,10.10,"Sep 20, 24"
"Sep 23, 24",10.01,10.01,"Sep 23, 24"
"Sep 25, 24",9.99,9.99,"Sep 25, 24"
"Sep 26, 24",9.99,9.99,"Sep 26, 24"
"Oct 02, 24",9.90,9.90,"Oct 02, 24"
"Oct 04, 24",10.10,10.10,"Oct 04, 24"
"Oct 08, 24",10.47,10.47,"Oct 08, 24"
"Oct 09, 24",10.42,10.42,"Oct 09, 24"
"Oct 10, 24",10.32,10.32,"Oct 10, 24"
"Oct 11, 24",10.50,10.50,"Oct 11, 24"
"Oct 16, 24",10.61,10.61,"Oct 16, 24"
"Oct 17, 24",10.58,10.58,"Oct 17, 24"
"Oct 18, 24",10.62,10.62,"Oct 18, 24"
"Oct 21, 24",10.62,10.62,"Oct 21, 24"
"Oct 25, 24",11.29,11.29,"Oct 25, 24"
"Oct 28, 24",11.20,11.20,"Oct 28, 24"
"Oct 29, 24",11.70,11.70,"Oct 29, 24"
"Oct 30, 24",11.70,11.70,"Oct 30, 24"
"Oct 31, 24",11.27,11.27,"Oct 31, 24"
"Nov 04, 24",11.81,11.81,"Nov 04, 24"
"Nov 05, 24",11.41,11.41,"Nov 05, 24"
"Nov 06, 24",12.10,12.10,"Nov 06, 24"
"Nov 08, 24",12.02,12.02,"Nov 08, 24"
"Nov 12, 24",12.25,12.25,"Nov 12, 24"
"Nov 14, 24",12.31,12.31,"Nov 14, 24"
"Nov 15, 24",12.43,12.43,"Nov 15, 24"
"Nov 18, 24",12.40,12.40,"Nov 18, 24"
"Nov 19, 24",12.32,12.32,"Nov 19, 24"
"Nov 21, 24",12.35,12.35,"Nov 21, 24"
"Nov 22, 24",12.55,12.55,"Nov 22, 24"
"Nov 26, 24",11.82,11.82,"Nov 26, 24"
"Nov 27, 24",12.20,12.20,"Nov 27, 24"
"Nov 28, 24",12.66,12.66,"Nov 28, 24"
"Nov 29, 24",12.66,12.66,"Nov 29, 24"
"Dec 02, 24",13.14,13.14,"Dec 02, 24"
"Dec 03, 24",13.47,13.47,"Dec 03, 24"
"Dec 04, 24",13.57,13.57,"Dec 04, 24"
"Dec 05, 24",13.85,13.85,"Dec 05, 24"
"Dec 06, 24",14.20,14.20,"Dec 06, 24"
"Dec 09, 24",14.10,14.10,"Dec 09, 24"
"Dec 10, 24",15.50,15.50,"Dec 10, 24"
"Dec 11, 24",14.65,14.65,"Dec 11, 24"
"Dec 12, 24",14.95,14.95,"Dec 12, 24"
"Dec 13, 24",14.80,14.80,"Dec 13, 24"
"Dec 16, 24",15.16,15.16,"Dec 16, 24"
"Dec 17, 24",14.89,14.89,"Dec 17, 24"
"Dec 18, 24",14.70,14.70,"Dec 18, 24"
"Dec 19, 24",14.48,14.48,"Dec 19, 24"
"Dec 20, 24",14.25,14.25,"Dec 20, 24"
"Dec 23, 24",14.59,14.59,"Dec 23, 24"
"Dec 24, 24",14.89,14.89,"Dec 24, 24"
"Dec 26, 24",14.42,14.42,"Dec 26, 24"
"Dec 30, 24",14.83,14.83,"Dec 30, 24"
"Dec 31, 24",15.03,15.03,"Dec 31, 24"
"Jan 01, 25",15.30,15.30,"Jan 01, 25"
"Jan 02, 25",15.41,15.41,"Jan 02, 25"
"Jan 03, 25",15.16,15.16,"Jan 03, 25"
"Jan 06, 25",14.87,14.87,"Jan 06, 25"
"Jan 07, 25",14.64,14.64,"Jan 07, 25"
"Jan 08, 25",15.89,15.89,"Jan 08, 25"
"Jan 09, 25",15.44,15.44,"Jan 09, 25"
"Jan 10, 25",14.03,14.03,"Jan 10, 25"
"Jan 13, 25",14.41,14.41,"Jan 13, 25"
"Jan 14, 25",14.58,14.58,"Jan 14, 25"
"Jan 15, 25",14.94,14.94,"Jan 15, 25"
"Jan 16, 25",14.30,14.30,"Jan 16, 25"
"Jan 17, 25",14.30,14.30,"Jan 17, 25"
"Jan 20, 25",14.48,14.48,"Jan 20, 25"
"Jan 21, 25",14.43,14.43,"Jan 21, 25"
"Jan 22, 25",14.25,14.25,"Jan 22, 25"
"Jan 23, 25",14.41,14.41,"Jan 23, 25"
"Jan 24, 25",14.59,14.59,"Jan 24, 25"
"Jan 27, 25",14.32,14.32,"Jan 27, 25"
"Jan 28, 25",13.99,13.99,"Jan 28, 25"
"Jan 29, 25",13.90,13.90,"Jan 29, 25"
"Jan 30, 25",14.03,14.03,"Jan 30, 25"
"Jan 31, 25",14.34,14.34,"Jan 31, 25"
"Feb 03, 25",14.30,14.30,"Feb 03, 25"
